CONTRACTOR/CARRIER	LOCALITY	HCPCS	RVU	GPCI	BASE RATE	URBAN BASE RATE / URBAN MILEAGE	RURAL BASE RATE / RURAL MILEAGE	RURAL BASE RATE / LOWEST QUARTILE	RURAL GROUND MILES 1-17*
01112	65	A0431	1.00	1.284	"$3,659.92"	"$4,179.63"	"$6,269.44"	n/a	"$6,269.44"
01112	65	A0432	1.75	1.284	$231.98	$496.40	$501.27	n/a	n/a
01112	65	A0433	2.75	1.284	$231.98	$780.06	$787.71	$965.73	n/a
01112	65	A0434	3.25	1.284	$231.98	$921.89	$930.93	"$1,141.32"	n/a
01112	65	A0435	1.00	1.284	$8.93	$8.93	$13.40	n/a	$13.40
01112	65	A0436	1.00	1.284	$23.83	$23.83	$35.75	n/a	$35.75
01112	66	A0425	1.00	1.164	$7.47	$7.62	$7.69	n/a	$11.54
01112	66	A0426	1.20	1.164	$231.98	$316.54	$319.64	$391.88	n/a
01112	66	A0427	1.90	1.164	$231.98	$501.19	$506.10	$620.48	n/a
01112	66	A0428	1.00	1.164	$231.98	$263.78	$266.37	$326.57	n/a
01112	66	A0429	1.60	1.164	$231.98	$422.05	$426.19	$522.51	n/a
01112	66	A0430	1.00	1.164	"$3,147.91"	"$3,406.04"	"$5,109.06"	n/a	"$5,109.06"
01112	66	A0431	1.00	1.164	"$3,659.92"	"$3,960.03"	"$5,940.05"	n/a	"$5,940.05"
01112	66	A0432	1.75	1.164	$231.98	$461.62	$466.15	n/a	n/a
01112	66	A0433	2.75	1.164	$231.98	$725.40	$732.52	$898.07	n/a
01112	66	A0434	3.25	1.164	$231.98	$857.30	$865.70	"$1,061.35"	n/a
01112	66	A0435	1.00	1.164	$8.93	$8.93	$13.40	n/a	$13.40
01112	66	A0436	1.00	1.164	$23.83	$23.83	$35.75	n/a	$35.75
01112	67	A0425	1.00	1.146	$7.47	$7.62	$7.69	n/a	$11.54
01112	67	A0426	1.20	1.146	$231.98	$312.96	$316.03	$387.45	n/a
01112	67	A0427	1.90	1.146	$231.98	$495.52	$500.38	$613.47	n/a
01112	67	A0428	1.00	1.146	$231.98	$260.80	$263.36	$322.88	n/a
01112	67	A0429	1.60	1.146	$231.98	$417.28	$421.37	$516.60	n/a
01112	67	A0430	1.00	1.146	"$3,147.91"	"$3,377.71"	"$5,066.56"	n/a	"$5,066.56"
01112	67	A0431	1.00	1.146	"$3,659.92"	"$3,927.09"	"$5,890.64"	n/a	"$5,890.64"
01112	67	A0432	1.75	1.146	$231.98	$456.40	$460.88	n/a	n/a
01112	67	A0433	2.75	1.146	$231.98	$717.21	$724.24	$887.92	n/a
01112	67	A0434	3.25	1.146	$231.98	$847.61	$855.92	"$1,049.36"	n/a
01112	67	A0435	1.00	1.146	$8.93	$8.93	$13.40	n/a	$13.40
01112	67	A0436	1.00	1.146	$23.83	$23.83	$35.75	n/a	$35.75
01112	68	A0425	1.00	1.084	$7.47	$7.62	$7.69	n/a	$11.54
01112	68	A0426	1.20	1.084	$231.98	$300.64	$303.59	$372.20	n/a
01112	68	A0427	1.90	1.084	$231.98	$476.01	$480.68	$589.31	n/a
01112	68	A0428	1.00	1.084	$231.98	$250.53	$252.99	$310.17	n/a
01112	68	A0429	1.60	1.084	$231.98	$400.85	$404.78	$496.26	n/a
01112	68	A0430	1.00	1.084	"$3,147.91"	"$3,280.12"	"$4,920.18"	n/a	"$4,920.18"
01112	68	A0431	1.00	1.084	"$3,659.92"	"$3,813.64"	"$5,720.45"	n/a	"$5,720.45"
