(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) CONV FAC	(5) RVU	(6) GPCI	(7) BASE RATE & URBAN MILEAGE	(7)(a) RURAL BASE RATE & RURAL MILEAGE	(7)(b) RURAL BASE RATE - LOWEST QUARTILE*	(8) RURAL BASE/MILES 1-17*	
00952	15	A0432	209.65	1.75	1.068	$392.04	$395.88	n/a	n/a	
00952	15	A0433	209.65	2.75	1.068	$616.06	$622.10	$762.69	n/a	
00952	15	A0434	209.65	3.25	1.068	$728.07	$735.21	$901.37	n/a	
00952	15	A0435	1.00	1.00	1.068	$8.07	$12.11	n/a	$12.11	
00952	15	A0436	1.00	1.00	1.068	$21.53	$32.30	n/a	$32.30	
00952	16	A0425	1.00	1.00	1.080	$6.87	$6.94	n/a	$10.41	
00952	16	A0426	209.65	1.20	1.080	$270.98	$273.64	$335.48	n/a	
00952	16	A0427	209.65	1.90	1.080	$429.05	$433.26	$531.18	n/a	
00952	16	A0428	209.65	1.00	1.080	$225.82	$228.03	$279.56	n/a	
00952	16	A0429	209.65	1.60	1.080	$361.31	$364.85	$447.31	n/a	
00952	16	A0430	1.00	1.00	1.080	"$2,958.95"	"$4,438.42"	n/a	"$4,438.42"	
00952	16	A0431	1.00	1.00	1.080	"$3,440.21"	"$5,160.31"	n/a	"$5,160.31"	
00952	16	A0432	209.65	1.75	1.080	$395.18	$399.06	n/a	n/a	
Illinois (cont'd)										
00952	16	A0433	209.65	2.75	1.080	$621.00	$627.09	$768.81	n/a	
00952	16	A0434	209.65	3.25	1.080	$733.91	$741.10	$908.59	n/a	
00952	16	A0435	1.00	1.00	1.080	$8.07	$12.11	n/a	$12.11	
00952	16	A0436	1.00	1.00	1.080	$21.53	$32.30	n/a	$32.30	
00952	99	A0425	1.00	1.00	0.880	$6.87	$6.94	n/a	$10.41	
00952	99	A0426	209.65	1.20	0.880	$235.06	$237.36	$291.00	n/a	
00952	99	A0427	209.65	1.90	0.880	$372.17	$375.82	$460.76	n/a	
00952	99	A0428	209.65	1.00	0.880	$195.88	$197.80	$242.50	n/a	
00952	99	A0429	209.65	1.60	0.880	$313.41	$316.48	$388.00	n/a	
00952	99	A0430	1.00	1.00	0.880	"$2,674.43"	"$4,011.65"	n/a	"$4,011.65"	
00952	99	A0431	1.00	1.00	0.880	"$3,109.42"	"$4,664.12"	n/a	"$4,664.12"	
00952	99	A0432	209.65	1.75	0.880	$342.79	$346.15	n/a	n/a	
00952	99	A0433	209.65	2.75	0.880	$538.67	$543.95	$666.88	n/a	
00952	99	A0434	209.65	3.25	0.880	$636.61	$642.85	$788.13	n/a	
00952	99	A0435	1.00	1.00	0.880	$8.07	$12.11	n/a	$12.11	
00952	99	A0436	1.00	1.00	0.880	$21.53	$32.30	n/a	$32.30	
Michigan										
00953	01	A0425	1.00	1.00	1.040	$6.87	$6.94	n/a	$10.41	
00953	01	A0426	209.65	1.20	1.040	$263.80	$266.38	$326.58	n/a	
