(1) CONTRACTOR/CARRIER	(2) LOCAL.	(3) HCPCS	(4) BASE RATE	(5) RVU	(6) GPCI	(7)(a) URBAN BASE RATE / URBAN MILEAGE	(7)(b) RURAL BASE RATE / RURAL MILEAGE	(7c) RURAL BASE RATE / LOWEST QUARTILE	(8) RURAL  GROUND MILES 1-17*	
Mississippi										
00904	00	A0433	209.44	2.75	0.978	$578.43	$584.10	$716.11	n/a	
00904	00	A0434	209.44	3.25	0.978	$683.60	$690.30	$846.31	n/a	
00904	00	A0435	8.06	1.00	0.978	$8.06	$12.09	n/a	$12.09	
00904	00	A0436	21.51	1.00	0.978	$21.51	$32.27	n/a	$32.27	
Wisconsin										
00951	00	A0425	6.73	1.00	0.966	$6.86	$6.93	n/a	$10.40	
00951	00	A0426	209.44	1.20	0.966	$250.25	$252.71	$309.82	n/a	
00951	00	A0427	209.44	1.90	0.966	$396.23	$400.12	$490.55	n/a	
00951	00	A0428	209.44	1.00	0.966	$208.54	$210.59	$258.18	n/a	
00951	00	A0429	209.44	1.60	0.966	$333.67	$336.94	$413.09	n/a	
00951	00	A0430	2842.29	1.00	0.966	"$2,793.97"	"$4,190.96"	n/a	"$4,190.96"	
00951	00	A0431	3304.58	1.00	0.966	"$3,248.40"	"$4,872.60"	n/a	"$4,872.60"	
00951	00	A0432	209.44	1.75	0.966	$364.95	$368.53	n/a	n/a	
00951	00	A0433	209.44	2.75	0.966	$573.50	$579.12	$710.00	n/a	
00951	00	A0434	209.44	3.25	0.966	$677.77	$684.41	$839.09	n/a	
00951	00	A0435	8.06	1.00	0.966	$8.06	$12.09	n/a	$12.09	
00951	00	A0436	21.51	1.00	0.966	$21.51	$32.27	n/a	$32.27	
Illinois										
00952	12	A0425	6.73	1.00	0.962	$6.86	$6.93	n/a	$10.40	
00952	12	A0426	209.44	1.20	0.962	$249.54	$251.98	$308.93	n/a	
00952	12	A0427	209.44	1.90	0.962	$395.10	$398.97	$489.14	n/a	
00952	12	A0428	209.44	1.00	0.962	$207.95	$209.98	$257.44	n/a	
00952	12	A0429	209.44	1.60	0.962	$332.71	$335.98	$411.91	n/a	
00952	12	A0430	2842.29	1.00	0.962	"$2,788.29"	"$4,182.43"	n/a	"$4,182.43"	
00952	12	A0431	3304.58	1.00	0.962	"$3,241.79"	"$4,862.69"	n/a	"$4,862.69"	
00952	12	A0432	209.44	1.75	0.962	$363.91	$367.47	n/a	n/a	
00952	12	A0433	209.44	2.75	0.962	$571.85	$577.46	$707.96	n/a	
00952	12	A0434	209.44	3.25	0.962	$675.83	$682.45	$836.69	n/a	
00952	12	A0435	8.06	1.00	0.962	$8.06	$12.09	n/a	$12.09	
00952	12	A0436	21.51	1.00	0.962	$21.51	$32.27	n/a	$32.27	
00952	15	A0425	6.73	1.00	1.056	$6.86	$6.93	n/a	$10.40	
00952	15	A0426	209.44	1.20	1.056	$266.40	$269.02	$329.81	n/a	
00952	15	A0427	209.44	1.90	1.056	$421.81	$425.94	$522.20	n/a	
00952	15	A0428	209.44	1.00	1.056	$222.00	$224.18	$274.84	n/a	
00952	15	A0429	209.44	1.60	1.056	$355.20	$358.69	$439.75	n/a	
00952	15	A0430	2842.29	1.00	1.056	"$2,921.87"	"$4,382.81"	n/a	"$4,382.81"	
00952	15	A0431	3304.58	1.00	1.056	"$3,397.11"	"$5,095.66"	n/a	"$5,095.66"	
00952	15	A0432	209.44	1.75	1.056	$388.51	$392.31	n/a	n/a	
00952	15	A0433	209.44	2.75	1.056	$610.51	$616.49	$755.82	n/a	
00952	15	A0434	209.44	3.25	1.056	$721.51	$728.58	$893.24	n/a	
00952	15	A0435	8.06	1.00	1.056	$8.06	$12.09	n/a	$12.09	
00952	15	A0436	21.51	1.00	1.056	$21.51	$32.27	n/a	$32.27	
00952	16	A0425	6.73	1.00	1.062	$6.86	$6.93	n/a	$10.40	
00952	16	A0426	209.44	1.20	1.062	$267.48	$270.10	$331.15	n/a	
00952	16	A0427	209.44	1.90	1.062	$423.51	$427.66	$524.31	n/a	
00952	16	A0428	209.44	1.00	1.062	$222.90	$225.09	$275.95	n/a	
00952	16	A0429	209.44	1.60	1.062	$356.64	$360.14	$441.53	n/a	
00952	16	A0430	2842.29	1.00	1.062	"$2,930.40"	"$4,395.60"	n/a	"$4,395.60"	
00952	16	A0431	3304.58	1.00	1.062	"$3,407.02"	"$5,110.53"	n/a	"$5,110.53"	
00952	16	A0432	209.44	1.75	1.062	$390.08	$393.90	n/a	n/a	
Illinois (cont'd)										
00952	16	A0433	209.44	2.75	1.062	$612.98	$618.99	$758.88	n/a	
00952	16	A0434	209.44	3.25	1.062	$724.43	$731.53	$896.85	n/a	
00952	16	A0435	8.06	1.00	1.062	$8.06	$12.09	n/a	$12.09	
00952	16	A0436	21.51	1.00	1.062	$21.51	$32.27	n/a	$32.27	
00952	99	A0425	6.73	1.00	0.941	$6.86	$6.93	n/a	$10.40	
00952	99	A0426	209.44	1.20	0.941	$245.77	$248.18	$304.26	n/a	
00952	99	A0427	209.44	1.90	0.941	$389.13	$392.95	$481.75	n/a	
00952	99	A0428	209.44	1.00	0.941	$204.81	$206.81	$253.55	n/a	
00952	99	A0429	209.44	1.60	0.941	$327.69	$330.90	$405.69	n/a	
00952	99	A0430	2842.29	1.00	0.941	"$2,758.44"	"$4,137.66"	n/a	"$4,137.66"	
